title,link,summary,pub_date
9부 능선 넘은 대한항공-아시아나 합병,https://www.news1.kr/photos/view/?6708387, 아시아나항공의 화물사업부 인수 우선협상대상자인 에어인천이 대한항공과 양해각서(MOU)를 체결한다. 유럽연합집행위원회(EC)가 대한항공과 아시아나 기업결합 승인 조건으로 내건 화물사업 독과점 해소를 일단락 지으면서 합병은 9부 능선을 넘게 됐다. 17일 업계에 따르면 대한항공은 이날 오전... ,2024.06.17.
"아시아나항공, 국립심포니오케스트라와 문화예술 파트너십",https://www.yna.co.kr/view/AKR20240617023700003?input=1195m, 아시아나항공은 국립심포니오케스트라와 문화예술 활성화를 위한 전략적 파트너십을 체결했다고 17일 밝혔다. 이번 협약에 따라 양측은 문화예술 분야에서 협업 마케팅을 진행해 시너지를 극대화할 계획이다. 아시아나항공은 국립심포니오케스트라 단원들의 해외 공연 시 항공권 및 악기 화물 운송 할인을... ,2024.06.17.
'아시아나 화물사업 인수' 가능성에…인화정공 '上' [핫종목],https://www.news1.kr/articles/5456704, 인화정공(101930)이 아시아나항공 화물사업부 인수 우선협상 대상자로 선정되면서 주가 랠리가 이어지고 있다. 한국거래소에 따르면 24일 오전 9시49분 기준 인화정공은 가격제한폭인 6200원(29.95%)까지 오른 2만 6900원에 거래 중이다. 인화정공의 강세는 아시아나항공의 화물사업부 인수 우선협상 대상자로... ,2024.06.24.
"美 승인만 남은 대한항공 합병…아시아나 노조 ""국가적 손실 우려""",https://www.ntoday.co.kr/news/articleView.html?idxno=107043," 대한항공 보잉787-9 [사진제공=대한항공] 대한항공과 아시아나항공 간 기업결합이 수조원에 달하는 국내 항공 산업 손실로 이어질 것이라는 지적이 제시됐다. 26일 업계에 따르면 아시아나항공 조종사노조와 일반노조는 전날 공동 성명서를 내고 ""대한항공의 아시아나항공 인수합병은 국가적·국민적 피해가... ",2024.06.26.
"아시아나-길병원, 외국인 의료관광객 유치 '맞손'",https://www.yna.co.kr/view/AKR20240619025900003?input=1195m, 아시아나항공은 가천대 길병원과 외국인 의료 관광객 수요 활성화를 위한 업무협약(MOU)을 체결했다고 19일 밝혔다. 이번 협약에 따라 아시아나항공은 중앙아시아 노선을 이용해 한국을 찾아 길병원에서 진료받는 외국인 탑승객에게 최대 15%의 항공권 할인 혜택과 무료 수하물 1개 추가 혜택을 제공한다.... ,2024.06.19.
"서울 매력 통했네…서울관광재단, 외래관광객 유치 성공",https://www.newsis.com/view/NISX20240630_0002792674," 프로모션 페이지에서 아시아나·티웨이항공과 협업해 항공권 할인 코드를 제공했다. 서울 시내 인기 호텔, 서울 굿즈 상품 등을 소개했다. 익선동, 북촌 한옥 마을 등 인기 관광지와 한강공원 피크닉, 도심 등산 등 서울에서의 다양한 체험 활동도 다뤘다. 그 결과, 프로모션 페이지는 930만 회 노출됐다. 상품... ",2024.06.30.
15만원 더 내면 프리미엄 만끽… 유료좌석제 도입한 아시아나,https://www.asiatoday.co.kr/view.php?key=20240625010013428, 9월부터 출발 항공편에 적용 넓은좌석·슬라이딩 도어 매력 편도 할인가 최소 15만원 시작 아시아나항공이 A380 기종에서 기존 일등석 자리로 쓰이던... 아시아나로서는 대형항공사(FSC)에서만 제공하는 비즈니스 석에 보다 차별화된 서비스를 제공하는 유료 정책을 개발하면서 수익성 확보에도 도움을 줄 수... ,2024.06.24.
"'아시아나 화물사업' 품는 에어인천, 국제항공안전평가 첫 인증",http://news.tf.co.kr/read/economy/2108357.htm," 객실 부문 제외 항공보안 등에서 최신 안전 기준 대한항공의 아시아나항공 화물사업부 매각 우선협상대상자로 선정된 에어인천이... 유순식 에어인천 안전보안실장은 ""아시아나 화물사업 우협 선정에 이은 회사 겹경사""라며 ""2년마다 엄격한 기준으로 갱신을 요구하는 만큼 앞으로 국제기준에... ",2024.06.20.
아시아나화물 우선협상에 '에어인천' 선정…협상 거쳐 7월 매각,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00003&news_seq_no=5034597, 국내 유일의 화물 전용 항공사인 에어인천이 아시아나항공 화물사업부의 새 주인이 될 것으로 보입니다. 대한항공은 오늘(17일) 이사회를 열고 에어인천을 아시아나항공 화물사업 매각 우선협상대상자로 선정했습니다. 에어인천은 내달 15일까지 우선 협상 기간을 갖습니다. 협상 기간은 당사자들의 합의하면... ,2024.06.17.
'아시아나 화물' 삼킨 에어인천…원거리 사업 등 당면과제는?,https://www.newsis.com/view/NISX20240618_0002777491," 국내 유일 화물 전용 항공사 에어인천이 아시아나항공 화물사업부의 우선협상대상자로 선정됐다. '고래를 삼킨 새우'로 불릴 만큼 예상밖이라는 평가 속에 그만큼 넘어야 할 산도 많다는 지적이다. 대한항공은 지난 17일 이사회를 열고, 아시아나항공 화물기 사업 매각 우선협상대상자로 에어인천을 선정했다.... ",2024.06.19.
"국토부, 대한항공-아시아나 결합 이후 장거리 확대 LCC 점검",https://www.sedaily.com/NewsView/2DAJVQ474A," 대한항공에도 아시아나항공과 기업 결합 이후 감축하는 유럽연합(EU) 노선에 이미 예약한 승객에 대체 여정을 제공하고, 추가 비용도 보상하라고... 티에이항공의 경우 대한항공-아시아나항공 간 기업결합에 따라 장거리 노선 운항이 확대된다. 유럽 자그레브를 운항하고 있고 로마(8월), 바르셀로나(9월), 파리... ",2024.06.21.
"대한항공, 아시아나 합병 9부 능선 넘었다",https://dealsite.co.kr/articles/124052," 아시아나 화물사업부, 에어인천에 매각…美경쟁당국 결정만 남아 대한항공과 아시아나항공간의 합병이 사실상 마지막 관문인 미국 경쟁당국의 승인만을 남겨놓게 됐다. 아시아나항공 화물사업부 매각 작업이 아직 진행 중이지만 사모펀드(PEF) 사이에서 관심도가 큰 만큼 중도포기 등 매각 리스크는 높지... ",2024.06.18.
"에어인천 실소유주 인화정공, 아시아나 화물도 삼킬까…선박엔진 기업...",https://biz.chosun.com/stock/market_trend/2024/06/20/PWJJ3K3Q5NCFHITFLRTLC3G2T4/?utm_source=naver&utm_medium=original&utm_campaign=biz," 아시아나항공 화물사업부의 인수 우선협상자로 저가항공사(LCC) 에어인천이 선정된 가운데, 업계에서는 전략적투자자(SI)로 참여한 코스닥 상장사 인화정공에 주목하고 있다. 향후 소시어스와 한국투자프라이빗에쿼티(PE) 등 재무적투자자(FI)들이 투자금을 회수하면 인화정공이 아시아나 화물사업부를... ",2024.06.20.
아시아나 화물 새주인 '에어인천' 내정… 항공물류 톱2 비상,http://www.fnnews.com/news/202406161844455754," 국내 유일 화물 전용 항공사인 에어인천이 아시아나항공 화물사업부 인수 후보자로 결정되면서 향후 국내 항공화물 시장에 지각변동을 예고하고... ■에어인천, 미주-유럽 사업 확대 16일 업계에 따르면 대한항공은 17일 이사회를 열고, 아시아나항공 화물사업부 매각 우선협상대상자로 화물 전용 항공사... ",15면 1단
"원티드랩 X 아시아나항공, 이직 응원 이벤트 ‘합격 여행을 원티드’ 진...",https://sports.khan.co.kr/news/sk_index.html?art_id=202406260347003&sec_id=561050&pt=nv," HR 테크 기업 원티드랩은 아시아나항공과 함께 ‘합격 여행을 원티드’ 이벤트를 진행한다고 25일 전했다. 이벤트는 이직을 준비하는 직장인과... 쿠폰은 아시아나항공 공식 홈페이지에서 사용할 수 있으며, 대상 노선은 △일본(오사카, 나고야, 센다이, 미야자키) △태국(방콕) △베트남(하노이) △필리핀... ",2024.06.26.
"대한항공, 아시아나 화물기 매각 우선협상대상자로 '에어인천' 선정",https://www.etnews.com/20240617000237," 대한항공이 17일 이사회를 열고 아시아나항공 화물기 사업 매각 우선협상대상자로 에어인천을 선정했다. 대한항공은 사업 인수 시 거래 확실성을 비롯해... 향후 아시아나항공의 미주, 유럽 장거리 노선 네트워크와 중대형 화물기와 결합해 사업 경쟁력을 한층 더 강화할 것으로 기대된다. 대한항공은 에어인천과... ",2024.06.17.
"아시아나, 다시 중국 하늘길 넓힌다···내실 다지기 집중",https://www.sisajournal-e.com/news/articleView.html?idxno=403809," 아시아나항공이 올해 중국 노선 확장에 나선다. 최근 일본과 동남아시아 취항이 늘어나며 항공사간 경쟁이 치열해져 수익성이 떨어지고 있는 가운데, 상용 수요 중심의 중국 노선을 늘려 실적 개선에 나서겠다는 전략이다. 26일 업계에 따르면 아시아나는 오는 9월 30일부터 김포~베이징 노선을 재개하며... ",2024.06.26.
"대한항공 아시아나항공 합병 막바지, 박세창 금호건설 유동성 확보 서두...",https://www.businesspost.co.kr/BP?command=article_view&num=356532, 금호건설이 아시아나항공 지분을 매각해 유동성 확보에 나설 것으로 전망된다. <그래픽 비즈니스포스트> 대한항공의 아시아나항공 합병이 화물기 사업부 매각으로 막바지 단계에 돌입했다. 현재 아시아나항공 최대주주인 금호건설은 지분 30.77%를 보유하고 있다. 금호건설의 재무 부담이 가중되고 있는... ,2024.06.24.
"오늘 대한항공 이사회…에어인천, 아시아나 합병 열쇠 될까",https://www.moneys.co.kr/article/2024061711303361058, 지난해 11월부터 진행된 아시아나항공 화물사업부 매각 작업이 마무리 단계로 접어들었다. 대한항공과 매각 주관사 UBS가 '에어인천'을 아시아나 화물 우선협상대상자로 내정한 것. 기업 규모는 작더라도 화물 전용 항공사로서의 전문성에 높은 점수를 준 것으로 알려졌다. 17일 항공업계에 따르면 이날... ,2024.06.17.
"길병원-아시아나항공, 해외 환자 유치 협약",http://www.edaily.co.kr/news/newspath.asp?newsid=02276326638923688," 가천대 길병원(병원장 김우경)은 19일 여성암병원 회의실에서 아시아나항공(대표이사 원유석)과 해외 환자 유치 활성화를 위한 업무협약을 체결했다. 협약식에는 김우경 병원장, 박흥규 제2진료부원장, 이원석 국제의료센터장 등 병원 주요 임원 및 원유석 대표이사, 이승환 온라인마케팅부문 상무 등 아시아나... ",2024.06.20.
"[더벨][조달전략 분석]아시아나항공, 영구CB 깊어지는 내상…차환 '진땀...",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202406201402112600109115," 금호아시아나그룹 경영 위기와 팬데믹으로 인한 재무 내상, 대한항공 피인수 등 현금흐름 관련 이슈가 산재한 아시아나항공이 영구전환사채(영구CB) 차환을 통해 조달 금리를 최소화하는 노력을 보이고 있다. 다만 대한항공으로의 피인수 시일이 길어지면서 기존 발행했던 영구CB의 금리 스텝업... ",2024.06.26.
