title,link,summary,pub_date
대한항공ㆍ아시아나항공 합병 초읽기,https://www.yna.co.kr/view/PYH20241128175500013?input=1196m, 대한항공과 아시아나항공의 기업결합 마지막 관문인 유럽연합 집행위원회(EC)의 최종 승인이 임박한 가운데 28일 인천 영종도 인천국제공항 활주로와 주기장에 대한항공-아시아나항공 여객기가 보이고 있다. 2024.11.28 ,4주 전
대한항공ㆍ아시아나항공 합병 초읽기,https://www.yna.co.kr/view/PYH20241128175700013?input=1196m, 대한항공과 아시아나항공의 기업결합 마지막 관문인 유럽연합 집행위원회(EC)의 최종 승인이 임박한 가운데 28일 인천 영종도 인천국제공항 활주로와 주기장에 대한항공-아시아나항공 여객기가 보이고 있다. 2024.11.28 ,4주 전
대한항공ㆍ아시아나항공 합병 임박,https://www.yna.co.kr/view/PYH20241128175000013?input=1196m, 대한항공과 아시아나항공의 기업결합 마지막 관문인 유럽연합 집행위원회(EC)의 최종 승인이 임박한 가운데 28일 인천 영종도 인천국제공항 활주로와 주기장에 대한항공-아시아나항공 여객기가 보이고 있다. 2024.11.28 ,4주 전
대한항공ㆍ아시아나항공 합병 초읽기,https://www.yna.co.kr/view/PYH20241128174800013?input=1196m, 대한항공과 아시아나항공의 기업결합 마지막 관문인 유럽연합 집행위원회(EC)의 최종 승인이 임박한 가운데 28일 인천 영종도 인천국제공항 활주로와 주기장에 대한항공-아시아나항공 여객기가 보이고 있다. 2024.11.28 ,4주 전
대한항공ㆍ아시아나항공 합병 임박,https://www.yna.co.kr/view/PYH20241128175100013?input=1196m, 대한항공과 아시아나항공의 기업결합 마지막 관문인 유럽연합 집행위원회(EC)의 최종 승인이 임박한 가운데 28일 인천 영종도 인천국제공항 활주로와 주기장에 대한항공-아시아나항공 여객기가 보이고 있다. 2024.11.28 ,4주 전
대한항공ㆍ아시아나항공 합병 초읽기,https://www.yna.co.kr/view/PYH20241128175400013?input=1196m, 대한항공과 아시아나항공의 기업결합 마지막 관문인 유럽연합 집행위원회(EC)의 최종 승인이 임박한 가운데 28일 인천 영종도 인천국제공항 활주로와 주기장에 대한항공-아시아나항공 여객기가 보이고 있다. 2024.11.28 ,4주 전
대한항공ㆍ아시아나항공 합병 초읽기,https://www.yna.co.kr/view/PYH20241128174700013?input=1196m, 대한항공과 아시아나항공의 기업결합 마지막 관문인 유럽연합 집행위원회(EC)의 최종 승인이 임박한 가운데 28일 인천 영종도 인천국제공항 활주로와 주기장에 대한항공-아시아나항공 여객기가 보이고 있다. 2024.11.28 ,4주 전
대한항공ㆍ아시아나항공 합병 초읽기,https://www.yna.co.kr/view/PYH20241128174600013?input=1196m, 대한항공과 아시아나항공의 기업결합 마지막 관문인 유럽연합 집행위원회(EC)의 최종 승인이 임박한 가운데 28일 인천 영종도 인천국제공항 활주로와 주기장에 대한항공-아시아나항공 여객기가 보이고 있다. 2024.11.28 ,4주 전
"유럽연합, 대한항공-아시아나항공 기업결합 최종 승인",https://www.yna.co.kr/view/PYH20241128211800013?input=1196m, 28일 인천 영종도 인천국제공항 활주로와 주기장에 대한항공-아시아나항공 여객기가 보이고 있다. 유럽연합(EU) 집행위원회는 28일(현지시간) 대한항공과 아시아나항공의 결합을 최종 승인했다. 2024.11.28 ,4주 전
"EU 경쟁당국, 대한항공-아시아나 합병 승인…세계 10위권 메가 캐리어 뜬...",http://www.opinionnews.co.kr/news/articleView.html?idxno=108787, 유럽연합 경쟁당국은 28일(현지시각) 대한항공과 아시아나항공의 기업결합을 승인했다. 사진=연합뉴스 유럽연합(EU) 경쟁당국이 대한항공과 아시아나항공의 기업결합을 승인했다. 향후 2년 간 아시아나항공 브랜드는 유지되며 이후 통합 과정을 거쳐 '통합 대한항공'이 출범한다. '통합 대한항공'은 세계... ,3주 전
"대한항공 ""아시아나 합병 EU 경쟁당국 최종 승인""",https://biz.sbs.co.kr/article_hub/20000204165?division=NAVER, 대한항공이 아시아나항공과의 기업결합을 위해 EU 경쟁당국이 제시한 조건부 승인의 선행 조건을 모두 충족시켰다고 밝혔습니다. 대한항공은 EU 경쟁당국(European Commission·EC)이 현지시간 11월 28일 대한항공과 아시아나항공의 결합을 위한 선결 요건이 모두 충족돼 심사를 종결한다고 발표했습니다.... ,4주 전
대한항공-아시아나 합병하면 내 주식은 어떻게 되나요?,https://radio.ytn.co.kr/program/?f=2&id=99408&s_mcd=0206&s_hcd=15," 대한항공 아시아나항공 합병 작업이 사실상 마무리 단계라고 봐야 되는데요. 이쪽 주가는 어떻게 반응하고 있습니까? ◇ 이선엽 : 전체적으로 주가 반응은... 그런데 궁금한 게요, 아시아나항공도 그렇고 대한항공도 그렇고 둘 다 상장사잖아요. 그렇게 이 두 회사가 합병을 하게 되면 주식은 어떻게 되는 겁니까?... ",3주 전
아시아나 마일리지만 1兆…2년내 소진 유도할 듯,https://www.hankyung.com/article/2024112818941, 대한항공과 아시아나항공이 하나가 되면 아시아나항공 마일리지는 어떻게 처리될지도 관심사다. 마일리지를 적립해주는 신용카드 기준으로 대한항공 마일리지의 시장 가치가 아시아나항공보다 두 배 가까이 높아 아시아나항공 마일리지를 고스란히 대한항공 마일리지로 전환해주는 건 맞지 않다는 시각이... ,A4면 1단
"EU, 대한항공-아시아나 기업결합 승인…마지막 관문 통과(상보)",https://www.news1.kr/industry/general-industry/5613555, 대한항공(003490)은 28일 유럽연합 집행위원회(EC)가 대한항공과 아시아나항공(020560)의 기업결합을 위한 선결 요건이 모두 충족됐다고 판단해 심사를 종결했다고 밝혔다. 앞서 EC는 지난 2월 대한항공과 아시아나항공 기업결합에 대해 조건부 승인 결정을 내리며 유럽 4개 노선(이탈리아 로마·프랑스 파리... ,4주 전
"EU, 대한항공-아시아나항공 기업결합 최종 승인",https://www.kyeonggi.com/article/20241129580052," 유럽연합(EU) 경쟁당국이 대한항공과 아시아나항공 간 기업결합을 최종 승인했다. 29일 대한항공에 따르면 EU 경쟁당국(European Commission, EC)은 현지시간으로 지난 28일 대한항공과 아시아나항공의 결합을 위한 선결 요건이 모두 충족돼 심사를 종결한다고 발표했다. EC는 지난 2월 조건부 승인 결정을... ",3주 전
아시아나 '마일리지 항공' 56편 띄운다,https://www.sedaily.com/NewsView/2DGZUVAONC," 아시아나항공이 12월 제주행 항공편의 잔여석을 모두 마일리지로 판매한다고 26일 밝혔다. 마일리지 항공편은 27일 오전 9시부터 진행되는 ‘제주... 아시아나항공은 인기 항공편에 마일리지 잔여석을 집중 배치했다. 김포공항에서 오전 7시10분 출발하는 OZ8909편, 제주공항에서 오후 12시 55분에... ",14면 9단
"대한항공, 아시아나 기업결합 EU 승인…미국 찍고 '합병' 마무리 계획",https://sports.chosun.com/life/2024-11-29/202411290100195060031187," 대한항공과 아시아나항공 간 합병에 청신호가 켜졌다. 유럽연합(EU) 집행위원회의 대한항공-아시아나 기업결합 최종 승인이 지난 28일 완료됐다. EU 집행위는 ""에어인천이 대한항공과 아시아나항공에서 독립적이며 양사 및 다른 경쟁자들과 존립할 수 있고 적극적인 경쟁업체로서 매각 사업을 유지하고... ",3주 전
"EC, 대한항공·아시아나항공 합병 최종 승인... 마일리지는?",https://www.insight.co.kr/news/485461," EC, 대한항공-아시아나항공 기업 결합 승인대한항공과 아시아나항공의 기업결합 심사에 대해 EC(유럽연합 집행위원회)가 최종 승인을 내렸다. 지난 2021년 1월 기업결합을 위해 14개국에 신고한 지 약 4년 만이다. 28일(현지시간) EC는 대한항공과 아시아나항공의 결합을 위한 선결 요건이 모두 충족돼 심사를... ",3주 전
"""아시아나 마일리지 털자"" 내달 김포~제주 56편 구매 가능",http://www.fnnews.com/news/202411261807274734, 아시아나항공이 마일리지 사용에 어려움을 겪는 고객들을 위해 제주행 항공편 좌석 확대에 나선다. 특히 마일리지 좌석을 유상좌석과 동일하게 운영해 고객만족도를 높인다는 계획이다. 아시아나항공은 27일 오전 9시부터 '제주 해피 마일리지 위크' 프로모션을 통해 총 56편의 항공편에서 마일리지... ,17면 1단
"대한항공-아시아나 합병, '에어프랑스-KLM'과 닮은 꼴",http://www.hansbiz.co.kr/news/articleView.html?idxno=723267," / 한진 국내 양대 국적 항공사 대한항공과 아시아나항공의 물리적 통합이 사실상 완료됐다. 28일(현지시간) 유럽연합집행위원회(EC)가 양사... 국내의 FSC는 2곳, 대한항공과 아시아나항공이 있다. 코로나 사태의 장기화로 아시아나항공의 경영 정상화의 불확실성이 심해지자 2020년 11월 국책은행인... ",3주 전
"대한항공-아시아나 기업결합 사실상 확정…EU 경쟁당국, 최종 승인",https://www.newsquest.co.kr/news/articleView.html?idxno=235245," 대한항공이 아시아나항공과의 기업결합을 위한 마지막 관문인 EU(유럽연합) 경쟁당국의 조건부 승인의 선행 조건을 모두 충족시켰다. 이에 따라, 오는 12월 대한항공과 아시아나항공 신주 인수가 끝나면 두 기업의 기업결합 절차는 모두 마무리된다. EU 경쟁당국(European Commission·EC)은 28일(현지시간)... ",3주 전
"에어인천, 아시아나항공 화물사업부 4700억원에 인수 확정",https://biz.newdaily.co.kr/site/data/html/2024/11/29/2024112900245.html, 뉴데일리 김재홍 기자 = 대한항공과 아시아나항공 합병이 최종 승인받으면서 양사 기업결합의 전제 조건이었던 에어인천의 아시아나항공 화물사업부 인수가 공식 확정됐다. 에어인천은 유럽연합 집행위원회(EC)가 지난 28일(현지시간) 양사 기업결합을 승인하면서 에어인천의 아시아나항공 화물사업부... ,3주 전
대한항공·아시아나 '통합 마일리지' 내년 봄 넘어야 윤곽,http://www.fnnews.com/news/202411281620577958," 대한항공과 아시아나항공 합병이 마무리됐지만 국민들의 가장 큰 관심사인 '통합 마일리지'는 내년 봄을 넘겨야 윤곽이 드러날 것으로 관측된다.... 28일 대한항공과 아시아나항공 3·4분기 분기보고서에 따르면 양사의 미사용 마일리지(이연수익)은 각각 2조5542억원, 9819억원으로 총 3조5000억원을 넘어선다.... ",4주 전
"""대한항공, EC 아시아나 결합 승인에 불확실성 제거…목표가↑""-하나",https://www.hankyung.com/article/2024112925986, 하나증권은 29일 대한항공에 대해 유럽연합 경쟁당국(EC)가 아시아나항공과의 기업결합을 승인함에 따라 불확실성이 제거됐다며 목표주가를 기존... 연내 아시아나항공 인수 절차가 이뤄질 예정”이라고 설명했다. 대한항공은 올해 말까지 아시아나항공을 자회사로 편입하고 2년 안에 합병까지 마무리할... ,3주 전
"'메가 캐리어' 등극…대한항공·아시아나, 남은 과제는?",http://www.newstomato.com/ReadNews.aspx?no=1246553&inflow=N, 뉴스토마토 = 임유진 기자 | 대한항공과 아시아나항공의 기업결합 절차가 사실상 마무리 되면서 향후 양사의 완전한 통합까지 해결할 과제들이... 29일 대한항공에 따르면 유럽연합 집행위원회(EC)는 지난 28일(현지시간) 대한항공과 아시아나항공의 기업결합을 위한 선결 요건이 모두 충족됐다고 판단해 심사를... ,3주 전
"""어디에 쓰냐"" 불만에…아시아나, 마일리지 항공권 푼다",http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202411260340&t=NN," 아시아나항공이 12월 2주 동안 마일리지 좌석을 유상 좌석과 동일하게 오픈하는 항공편을 운영한다. 아시아나항공은 27일 오전 9시부터 '제주 해피 마일리지 위크' 프로모션을 통해 마일리지 좌석을 공급한다고 26일 밝혔다. 매일 ▲김포→제주 2편 ▲제주→김포 2편으로, 하루 4편씩 총 56개 항공편이... ",2024.11.26.
"아시아나항공, 제주 노선 마일리지 항공권 공급",http://www.inews24.com/view/1787116, 아시아나항공이 12월 2주 동안 마일리지 좌석을 유상좌석과 동일하게 오픈하는 항공편을 운영한다고 26일 밝혔다. 아시아나항공은 오는 27일 오전 9시부터 '제주 해피 마일리지 위크' 프로모션을 통해 오는 12월 2일부터 15일까지 총 56편 대상 항공편에서 마일리지 좌석을 최대 공급한다. 매일 △김포... ,2024.11.26.
"하나證, “대한항공, 아시아나 합병 불확실성 제거로 성장 기대”···목...",https://biz.heraldcorp.com/article/10006139?ref=naver," 대한항공, 연내 아시아나항공 자회사 편입 예정 하나證 “대한항공 향후 2년은 과도기적 구간으로 이해해야” 대한항공에 투자의견 ‘매수’·목표가 상향 조정 [연합] [헤럴드경제=김민지 기자] 하나증권은 29일 대한항공에 대해 아시아나항공과의 기업 결합이 유럽연합(EU)에서 최종 승인되며 불확실성이... ",3주 전
EC 대한항공·아시아나 기업결합 '승인',https://www.safetimes.co.kr/news/articleView.html?idxno=222196, 2020년 대한항공이 아시아나항공 인수를 공시한 이후 4년만이다. EC는 홈페이지에 대한항공·아시아나항공이 결합을 위한 선결 요건이 충족돼 심사를 종결한다고 28(현지시간)일 발표했다. 합병조건은 아시아나항공 화물기 여객 부문 유럽 중복 4개 노선과 사업부문 분리매각에 신규 항공사 진입을 걸었다.... ,3주 전
"EU, 대한항공-아시아나 기업결합 최종 승인…다음달 마무리",https://www.imaeil.com/page/view/2024112818580768431, 대한항공과 아시아나항공의 완전 통합이 눈앞에 다가왔다. 항공업계에 따르면 유럽연합(EU) 집행위원회는 대한항공과 아시아나항공의 결합을 28일(현지시간) 승인했다. EU 집행위가 기업결합을 최종 승인하면서 대한한공은 2021년 1월 기업결합을 신고한 14개 '필수 신고국' 중 미국을 제외한 13개국의 승인을... ,12면 1단
